scan, NM, BFGS, CG, SLSQP, errNM, errBFGS, errCG, errSLSQP
"[1, 2]", "38.64, 145.56","38.64, 145.56","38.64, 145.56","38.64, 145.56",Err : 8.6e-08,Err$^2$ : 3.4e-11,Err$^2$ : 2.7e-11,Err : 8.0e-07
"[1, 2, 3]", "33.63, 145.79","33.67, 145.78","33.6, 145.8","33.65, 145.78",Err : 1.3e-02,Err : 1.3e-02,Err : 1.3e-02,Err : 1.3e-02
"[1, 2, 3, 4]", "26.53, 146.08","26.51, 146.08","26.63, 146.05","27.62, 145.69",Err : 3.2e-02,Err : 3.2e-02,Err : 3.2e-02,Err : 3.2e-02
"[1, 2, 3, 4, 5]", "19.82, 146.4","19.77, 146.42","19.97, 146.34","25.93, 144.01",Err : 4.9e-02,Err : 4.9e-02,Err : 4.9e-02,Err : 5.1e-02
"[1, 3]", "27.72, 146.09","27.72, 146.09","27.42, 146.12","27.72, 146.09",Err : 1.9e-08,Err$^2$ : 2.3e-11,Err$^2$ : 5.3e-04,Err : 5.5e-07
"[1, 5]", "-9.74, 147.91","-9.74, 147.91","-9.74, 147.91","-9.74, 147.91",Err : 9.9e-08,Err$^2$ : 4.1e-11,Err$^2$ : 4.5e-11,Err : 6.2e-07
"[1, 3, 5]", "12.35, 146.84","12.34, 146.84","12.47, 146.8","27.55, 142.69",Err : 4.2e-02,Err : 4.2e-02,Err : 4.2e-02,Err : 5.0e-02
"[1, 3, 7]", "-11.85, 147.97","-12.07, 148.01","-11.45, 147.87","25.43, 138.48",Err : 1.3e-01,Err : 1.3e-01,Err : 1.3e-01,Err : 1.5e-01
"[2, 3]", "812.62, -344.98","812.62, -344.98","31.85, 146.9","25.49, 150.89",Err : 7.3e-10,Err$^2$ : 2.5e-09,Err$^1$ : 1.9e-02,Err : 1.9e-02
"[2, 3, 4]", "1219.65, -602.07","1221.29, -603.1","32.94, 142.01","23.64, 147.84",Err : 1.1e-02,Err : 1.1e-02,Err$^1$ : 4.3e-02,Err : 4.4e-02
"[2, 3, 5]", "1856.17, -1006.77","1855.75, -1006.51","27.06, 143.79","22.75, 146.5",Err : 5.3e-02,Err : 5.3e-02,Err$^1$ : 6.9e-02,Err : 6.9e-02
"[1, 2, 5]", "20.71, 146.38","20.68, 146.39","20.87, 146.33","28.23, 144.23",Err : 5.4e-02,Err : 5.4e-02,Err : 5.4e-02,Err : 5.6e-02
"[1, 2, 7]", "0.41, 147.25","0.35, 147.26","0.83, 147.14","26.24, 140.32",Err : 1.4e-01,Err : 1.4e-01,Err : 1.4e-01,Err : 1.5e-01
"[1, 2, 9]", "35.21, 133.25","35.33, 133.23","34.13, 133.49","28.58, 134.69",Err : 2.9e-01,Err : 2.9e-01,Err : 2.9e-01,Err : 2.9e-01
"[1, 7, 11]", "-94.66, 148.98","-94.72, 148.98","-94.45, 148.95","-94.7, 148.98",Err : 2.4e-02,Err : 2.4e-02,Err : 2.4e-02,Err : 2.4e-02
"[1, 9, 11]", "-874.5, 191.61","-874.5, 191.61","-89.41, 139.9","31.17, 131.88",Err : 1.5e-02,Err : 1.5e-02,Err$^1$ : 2.4e-01,Err : 2.7e-01
"[3, 9, 11]", "45.75, 120.26","46.21, 120.17","44.64, 120.53","26.19, 124.95",Err : 3.3e-01,Err : 3.3e-01,Err : 3.3e-01,Err : 3.3e-01
"[3, 5, 7]", "17944.81, -11076.31","13.91, 132.23","14.03, 132.18","13.92, 132.24",Err : 8.8e-02,Err : 1.9e-01,Err : 1.9e-01,Err : 1.9e-01
"[3, 7, 9]", "358.84, -83.55","358.92, -83.58","282.26, -41.29","358.81, -83.54",Err : 2.3e-01,Err : 2.3e-01,Err$^1$ : 2.5e-01,Err : 2.3e-01
