scan, NM, BFGS, CG, SLSQP, errNM, errBFGS, errCG, errSLSQP
"[2, 3]", "255.0, 6.31", "226.63, 22.8", "31.85, 146.9", "25.49, 150.89", 1.4e-02, 1.6e-02, 1.9e-02, 1.9e-02
"[2, 3, 4]", "255.0, 2.76", "220.28, 27.1", "32.94, 142.01", "23.64, 147.84", 3.6e-02, 4.0e-02, 4.3e-02, 4.4e-02
"[2, 3, 5]", "255.0, 0.39", "223.15, 18.18", "27.06, 143.79", "22.75, 146.5", 6.6e-02, 6.7e-02, 6.9e-02, 6.9e-02
"[2, 3, 4, 5]", "253.36, 0.0", "222.72, 21.59", "27.6, 141.48", "21.9, 145.05", 6.0e-02, 6.3e-02, 6.5e-02, 6.5e-02
"[2, 5, 7]", "231.68, 0.0", "219.66, 12.28", "24.3, 130.33", "15.96, 135.58", 2.0e-01, 2.0e-01, 2.0e-01, 2.0e-01
"[1, 7, 11]", "0.0, 139.65", "0.11, 131.97", "0.3, 139.4", "0.0, 139.22", 1.0e-01, 1.2e-01, 1.1e-01, 1.1e-01
"[1, 9, 11]", "0.0, 134.11", "2.14, 140.56", "-0.01, 134.01", "31.17, 131.88", 2.6e-01, 2.7e-01, 3.3e+02, 2.7e-01
"[1, 2, 7, 11]", "6.3, 143.36", "6.13, 143.4", "6.75, 143.27", "28.41, 138.98", 1.2e-01, 1.2e-01, 1.2e-01, 1.3e-01
"[1, 3, 7, 11]", "0.0, 143.06", "0.09, 145.57", "0.03, 142.99", "27.94, 137.75", 1.1e-01, 1.1e-01, 1.1e-01, 1.2e-01
"[3, 5, 7]", "225.52, 0.0", "13.91, 132.23", "14.03, 132.18", "13.92, 132.24", 1.9e-01, 1.9e-01, 1.9e-01, 1.9e-01
"[1, 3, 5, 7]", "0.0, 144.78", "1.2, 148.93", "-0.04, 144.54", "23.41, 137.16", 1.2e-01, 1.3e-01, 1.4e+04, 1.4e-01
"[2, 3, 5, 7]", "240.58, 0.0", "216.95, 18.63", "23.89, 136.02", "18.39, 139.46", 1.7e-01, 1.7e-01, 1.7e-01, 1.7e-01
"[1, 2, 5, 7]", "0.0, 146.65", "0.01, 144.07", "-0.03, 146.6", "24.17, 138.77", 1.3e-01, 1.3e-01, 9.2e+03, 1.4e-01
