scan, ratio_s, s_max, fro, s_min
"[2, 3]", -, -, -, -
"[2, 3, 4]", 1.5e+07, 3.9e+03, 3.9e+03, 2.6e-04
"[2, 3, 5]", 2.8e+05, 5.3e+02, 5.4e+02, 1.9e-03
"[2, 3, 4, 5]", -, -, -, -
"[2, 5, 7]", 3.1e+06, 1.7e+03, 1.8e+03, 5.7e-04
"[1, 7, 11]", 1.8e+03, 4.2e+01, 4.5e+01, 2.4e-02
"[1, 9, 11]", 1.6e+07, 4.0e+03, 4.4e+03, 2.5e-04
"[1, 2, 7, 11]", -, -, -, -
"[1, 3, 7, 11]", -, -, -, -
"[3, 5, 7]", 4.7e+06, 2.2e+03, 2.2e+03, 4.6e-04
"[1, 3, 5, 7]", -, -, -, -
"[2, 3, 5, 7]", -, -, -, -
"[1, 2, 5, 7]", -, -, -, -
