scan, NM, BFGS, CG, SLSQP, errNM, errBFGS, errCG, errSLSQP
"[1, 2]", "38.64, 145.56", "38.64, 145.56", "38.64, 145.56", "38.64, 145.56", 8.6e-08, 3.4e-11, 2.7e-11, 8.0e-07
"[1, 2, 3]", "33.63, 145.79", "33.67, 145.78", "33.6, 145.8", "33.65, 145.78", 1.3e-02, 1.3e-02, 1.3e-02, 1.3e-02
"[1, 2, 3, 4]", "26.53, 146.08", "26.51, 146.08", "26.63, 146.05", "27.62, 145.69", 3.2e-02, 3.2e-02, 3.2e-02, 3.2e-02
"[1, 2, 3, 4, 5]", "19.82, 146.4", "19.77, 146.42", "19.97, 146.34", "25.93, 144.01", 4.9e-02, 4.9e-02, 4.9e-02, 5.1e-02
"[1, 3]", "27.72, 146.09", "27.72, 146.09", "27.42, 146.12", "27.72, 146.09", 1.9e-08, 2.3e-11, 5.3e-04, 5.5e-07
"[1, 3, 5]", "12.35, 146.84", "12.34, 146.84", "12.47, 146.8", "27.55, 142.69", 4.2e-02, 4.2e-02, 4.2e-02, 5.0e-02
"[1, 2, 5]", "20.71, 146.38", "20.68, 146.39", "20.87, 146.33", "28.23, 144.23", 5.4e-02, 5.4e-02, 5.4e-02, 5.6e-02
"[1, 2, 3, 5]", "23.17, 146.27", "23.16, 146.27", "23.32, 146.22", "27.26, 144.83", 5.0e-02, 5.0e-02, 5.0e-02, 5.0e-02
"[1, 2, 3, 7]", "10.86, 146.77", "10.78, 146.81", "11.26, 146.64", "25.65, 141.8", 1.3e-01, 1.3e-01, 1.3e-01, 1.3e-01
"[1, 2, 9]", "35.21, 133.25", "35.33, 133.23", "34.13, 133.49", "28.58, 134.69", 2.9e-01, 2.9e-01, 2.9e-01, 2.9e-01
"[1, 3, 9, 11]", "17.99, 135.72", "17.55, 135.83", "19.26, 135.52", "29.62, 133.93", 2.5e-01, 2.5e-01, 2.5e-01, 2.5e-01
