scan, integN, integP, integS
0, 0.0, 0.85057749127, 0.14939564867
1, 0.0404521845402, 0.834068402796, 0.125371578512
2, 0.318026565465, 0.501782744161, 0.180237543046
3, 0.294097043371, 0.470066275197, 0.235919096185
4, 0.275129485757, 0.443886422494, 0.280641879393
5, 0.245241880536, 0.39173290938, 0.36326746915
6, 0.245241880536, 0.39173290938, 0.36326746915
7, 0.198502178649, 0.318899782135, 0.482625272331
8, 0.145882352941, 0.270438842204, 0.583267973856
9, 0.0647058823529, 0.291950464396, 0.642242862057
10, 0.011964107677, 0.508820206049, 0.479401794616
11, 0.045780966045, 0.723412721186, 0.230660927786
12, 0.045780966045, 0.723412721186, 0.230660927786
13, 0.0667203867849, 0.802210386326, 0.131475403392
14, 0.0667203867849, 0.802210386326, 0.131475403392
15, 0.156580755398, 0.718552771505, 0.125205816635
16, 0.156580755398, 0.718552771505, 0.125205816635
17, 0.238711649366, 0.636433679354, 0.124403690888
18, 0.263441123171, 0.598673162901, 0.137923336908
19, 0.263441123171, 0.598673162901, 0.137923336908
20, 0.267373523995, 0.580671108222, 0.151779330517
21, 0.250471498716, 0.559216986961, 0.190087145969
22, 0.208218213195, 0.575567236324, 0.216024371131
23, 0.160813113495, 0.624867001064, 0.214243086055
